source_route,source_version,visible_label,element_type,original_webflow_destination,webflow_export_destination,current_rebuild_destination,match,deliberately_changed_by_new_cta_rules,internal_or_external,current_http_status,opens_new_tab,intended_destination_confirmed,same_site_absolute_url,direct_cal_url_outside_contact,webflow_dependency,old_vercel_project_url,placeholder_dead_action,classification,fix_applied,notes
/,VERCEL_REBUILD,Nexubis home,a,,,/,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,Case Studies,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,Altify,a,https://www.nexubis.io/work/altify,https://www.nexubis.io/work/altify,/work/altify,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,Circuit,a,https://www.nexubis.io/work/circuit,https://www.nexubis.io/work/circuit,/work/circuit,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,Oxipack,a,https://www.nexubis.io/work/oxipack,https://www.nexubis.io/work/oxipack,/work/oxipack,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,Packages,a,/packages,packages.html,/packages,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/packages; export=packages.html
/,VERCEL_REBUILD,Dreamlab,a,/blog,blog.html,/blog,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/blog; export=blog.html
/,VERCEL_REBUILD,Book an application callBook a Call,a,previous rebuild BOOKING_URL -> https://cal.com/nexubis/30min,,/contact,INTENTIONAL_CHANGE,yes,internal,200,no,no,no,no,no,no,no,INTENTIONAL_CONTACT_REDIRECT,lib/site-config.ts BOOKING_URL changed to /contact,
/,VERCEL_REBUILD,Open menu,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,Home,a,/,index.html,/,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/; export=index.html
/,VERCEL_REBUILD,Dreamlab,a,/blog,blog.html,/blog,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/blog; export=blog.html
/,VERCEL_REBUILD,Pricing,a,/packages,packages.html,/packages,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/packages; export=packages.html
/,VERCEL_REBUILD,Case Studies,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,Altify,a,https://www.nexubis.io/work/altify,https://www.nexubis.io/work/altify,/work/altify,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,Circuit,a,https://www.nexubis.io/work/circuit,https://www.nexubis.io/work/circuit,/work/circuit,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,Oxipack,a,https://www.nexubis.io/work/oxipack,https://www.nexubis.io/work/oxipack,/work/oxipack,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,Book an application call,a,previous rebuild BOOKING_URL -> https://cal.com/nexubis/30min,,/contact,INTENTIONAL_CHANGE,yes,internal,200,no,no,no,no,no,no,no,INTENTIONAL_CONTACT_REDIRECT,lib/site-config.ts BOOKING_URL changed to /contact,
/,VERCEL_REBUILD,Check your brand's credibility,a,,,/scorecard,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,Unmute showreel,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,Altify,a,,,https://altify.app/,NO_ORIGINAL_MATCH,no,external,200,yes,no,no,no,no,no,no,EXTERNAL_VALID,,
/,VERCEL_REBUILD,Sataya,a,,,https://sataya.io/,NO_ORIGINAL_MATCH,no,external,200,yes,no,no,no,no,no,no,EXTERNAL_VALID,,
/,VERCEL_REBUILD,Circuit,a,,,https://circuitprotect.com/,NO_ORIGINAL_MATCH,no,external,200,yes,no,no,no,no,no,no,EXTERNAL_VALID,,
/,VERCEL_REBUILD,Blue Knight,a,,,https://www.blueknight.io/,NO_ORIGINAL_MATCH,no,external,200,yes,no,no,no,no,no,no,EXTERNAL_VALID,,
/,VERCEL_REBUILD,Usably,a,,,https://www.usably.studio/,NO_ORIGINAL_MATCH,no,external,200,yes,no,no,no,no,no,no,EXTERNAL_VALID,,
/,VERCEL_REBUILD,Lathyrus,a,,,https://www.lathyrus.io/,NO_ORIGINAL_MATCH,no,external,200,yes,no,no,no,no,no,no,EXTERNAL_VALID,,
/,VERCEL_REBUILD,View 16,a,,,https://www.lathyrus.io/,NO_ORIGINAL_MATCH,no,external,200,yes,no,no,no,no,no,no,EXTERNAL_VALID,,
/,VERCEL_REBUILD,Design Focus,a,,,https://www.designfocus.io/,NO_ORIGINAL_MATCH,no,external,200,yes,no,no,no,no,no,no,EXTERNAL_VALID,,
/,VERCEL_REBUILD,Emprise Digital,a,,,https://www.emprise.co.za/,NO_ORIGINAL_MATCH,no,external,200,yes,no,no,no,no,no,no,EXTERNAL_VALID,,
/,VERCEL_REBUILD,01Brand Identity,summary,,,ACTION:accordion-toggle,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,Learn more,a,,,/contact,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,02Website,summary,,,ACTION:accordion-toggle,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,Learn more,a,,,/contact,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,033D & CGI,summary,,,ACTION:accordion-toggle,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,Learn more,a,,,/contact,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,04Video & Motion,summary,,,ACTION:accordion-toggle,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
