postTitle,postSlug,sanityId,anchorText,originalWebflowHref,finalStoredHref,classification,status,reason,blockKey,mutationType,destinationVerified
10% Better or Don’t Bother,10-better-or-dont-bother,post-10-better-or-dont-bother,"""Sell Value, Not Time,""",https://www.nexubis.io/post/stop-selling-time-start-delivering-value,/post/stop-selling-time-start-delivering-value,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b9d,,LIVE_200
Automation Is Not the Enemy,automation-is-not-the-enemy,post-automation-is-not-the-enemy,“The New Creative Stack”,https://www.nexubis.io/post/the-new-creative-stack,/post/the-new-creative-stack,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b1i1,,LIVE_200
Dick Proves the Agency Stereotype,dick-proves-the-agency-stereotype,post-dick-proves-the-agency-stereotype,Oxipack: Funding Nexubis,https://www.nexubis.io/post/oxipack-empowering-nexubis,/post/oxipack-empowering-nexubis,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b16h,,LIVE_200
Dick Proves the Agency Stereotype,dick-proves-the-agency-stereotype,post-dick-proves-the-agency-stereotype,Altify: Empowering Nexubis,https://www.nexubis.io/post/altify-empowering-nexubis,/post/altify-empowering-nexubis,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b16m,,LIVE_200
Dick Proves the Agency Stereotype,dick-proves-the-agency-stereotype,post-dick-proves-the-agency-stereotype,Circuit: Securing Nexubis,https://www.nexubis.io/post/circuit-securing-nexubis,/post/circuit-securing-nexubis,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b16s,,LIVE_200
Dick Proves the Agency Stereotype,dick-proves-the-agency-stereotype,post-dick-proves-the-agency-stereotype,Dick Proves the Agency Stereotype,https://youtu.be/G1FICHGeMIk,https://youtu.be/G1FICHGeMIk,EXTERNAL,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b16y,,PRESERVED_EXTERNAL
Don’t Turn Into a Robot,dont-turn-into-a-robot,post-dont-turn-into-a-robot,"firing fast, promoting faster",/post/fire-faster-promote-faster,/post/fire-faster-promote-faster,INTERNAL_BLOG,MANUAL_REVIEW_REQUIRED,"Expected one text range, found 0.",,,LIVE_200
Don’t Turn Into a Robot,dont-turn-into-a-robot,post-dont-turn-into-a-robot,building leadership from within,/post/building-a-leadership-team,/post/building-a-leadership-team,INTERNAL_BLOG,MANUAL_REVIEW_REQUIRED,"Expected one text range, found 0.",,,LIVE_200
Empowering Women with Project Flamingo,empowering-women-with-project-flamingo,post-empowering-women-with-project-flamingo,because the reason outweighs the grind.,https://www.nexubis.io/post/most-of-my-job-sucks,/post/most-of-my-job-sucks,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b5w,,LIVE_200
"For Professionals, By Professionals",for-professionals-by-professionals,post-for-professionals-by-professionals,the myth of the perfect hire,https://www.nexubis.io/post/the-myth-of-the-perfect-hire,/post/the-myth-of-the-perfect-hire,INTERNAL_BLOG,MANUAL_REVIEW_REQUIRED,"Expected one text range, found 0.",,,LIVE_200
