sourcePath,label,href,resolvedPath,classification,status,notes
/,,/,/,INTERNAL,200,
/,Altify,/work/altify,/work/altify,INTERNAL,200,
/,Circuit,/work/circuit,/work/circuit,INTERNAL,200,
/,Oxipack,/work/oxipack,/work/oxipack,INTERNAL,200,
/,Packages,/packages,/packages,INTERNAL,200,
/,Dreamlab,/blog,/blog,INTERNAL,200,
/,Book an application callBook a Call,/contact,/contact,INTERNAL,200,
/,Home,/,/,INTERNAL,200,
/,Dreamlab,/blog,/blog,INTERNAL,200,
/,Pricing,/packages,/packages,INTERNAL,200,
/,Altify,/work/altify,/work/altify,INTERNAL,200,
/,Circuit,/work/circuit,/work/circuit,INTERNAL,200,
/,Oxipack,/work/oxipack,/work/oxipack,INTERNAL,200,
/,Book an application call,/contact,/contact,INTERNAL,200,
/,Check your brand's credibility,/scorecard,/scorecard,INTERNAL,200,
/,,https://altify.app/,,EXTERNAL,,
/,,https://sataya.io/,,EXTERNAL,,
/,,https://circuitprotect.com/,,EXTERNAL,,
/,,https://www.blueknight.io/,,EXTERNAL,,
/,,https://www.usably.studio/,,EXTERNAL,,
/,,https://www.lathyrus.io/,,EXTERNAL,,
/,,https://www.lathyrus.io/,,EXTERNAL,,
/,,https://www.designfocus.io/,,EXTERNAL,,
/,,https://www.emprise.co.za/,,EXTERNAL,,
/,Learn more,/contact,/contact,INTERNAL,200,
/,Learn more,/contact,/contact,INTERNAL,200,
/,Learn more,/contact,/contact,INTERNAL,200,
/,Learn more,/contact,/contact,INTERNAL,200,
/,Learn more,/contact,/contact,INTERNAL,200,
/,Book an application call,/contact,/contact,INTERNAL,200,
/,Check my brand's credibility,/scorecard,/scorecard,INTERNAL,200,
/,Read the full case study,/work/oxipack,/work/oxipack,INTERNAL,200,
/,Book an application call,/contact,/contact,INTERNAL,200,
/,About,/about,/about,INTERNAL,200,
/,What we do,/#what-we-do,/,INTERNAL,200,
/,Work / Case studies,/work,/work,INTERNAL,200,
/,Brand Credibility Scorecard,/scorecard,/scorecard,INTERNAL,200,
/,Contact,/contact,/contact,INTERNAL,200,
/,LinkedIn,https://www.linkedin.com/company/nexubis/,,EXTERNAL,,
/,Instagram,https://www.instagram.com/nexubis.design/,,EXTERNAL,,
/about,,/,/,INTERNAL,200,
/about,Altify,/work/altify,/work/altify,INTERNAL,200,
/about,Circuit,/work/circuit,/work/circuit,INTERNAL,200,
/about,Oxipack,/work/oxipack,/work/oxipack,INTERNAL,200,
/about,Packages,/packages,/packages,INTERNAL,200,
/about,Dreamlab,/blog,/blog,INTERNAL,200,
/about,Book an application callBook a Call,/contact,/contact,INTERNAL,200,
/about,Home,/,/,INTERNAL,200,
/about,Dreamlab,/blog,/blog,INTERNAL,200,
/about,Pricing,/packages,/packages,INTERNAL,200,
/about,Altify,/work/altify,/work/altify,INTERNAL,200,
/about,Circuit,/work/circuit,/work/circuit,INTERNAL,200,
/about,Oxipack,/work/oxipack,/work/oxipack,INTERNAL,200,
/about,About,/about,/about,INTERNAL,200,
/about,What we do,/#what-we-do,/,INTERNAL,200,
/about,Work / Case studies,/work,/work,INTERNAL,200,
/about,Brand Credibility Scorecard,/scorecard,/scorecard,INTERNAL,200,
/about,Contact,/contact,/contact,INTERNAL,200,
/about,LinkedIn,https://www.linkedin.com/company/nexubis/,,EXTERNAL,,
/about,Instagram,https://www.instagram.com/nexubis.design/,,EXTERNAL,,
/blog,,/,/,INTERNAL,200,
/blog,Altify,/work/altify,/work/altify,INTERNAL,200,
/blog,Circuit,/work/circuit,/work/circuit,INTERNAL,200,
/blog,Oxipack,/work/oxipack,/work/oxipack,INTERNAL,200,
/blog,Packages,/packages,/packages,INTERNAL,200,
/blog,Dreamlab,/blog,/blog,INTERNAL,200,
/blog,Book an application callBook a Call,/contact,/contact,INTERNAL,200,
/blog,Home,/,/,INTERNAL,200,
/blog,Dreamlab,/blog,/blog,INTERNAL,200,
/blog,Pricing,/packages,/packages,INTERNAL,200,
/blog,Altify,/work/altify,/work/altify,INTERNAL,200,
/blog,Circuit,/work/circuit,/work/circuit,INTERNAL,200,
/blog,Oxipack,/work/oxipack,/work/oxipack,INTERNAL,200,
/blog,Featured,/post/the-nexubis-effect,/post/the-nexubis-effect,INTERNAL,200,
/blog,The Nexubis Effect,/post/the-nexubis-effect,/post/the-nexubis-effect,INTERNAL,200,
/blog,Read full article→,/post/the-nexubis-effect,/post/the-nexubis-effect,INTERNAL,200,
/blog,Featured,/post/circuit-securing-nexubis,/post/circuit-securing-nexubis,INTERNAL,200,
/blog,Circuit: Securing Nexubis,/post/circuit-securing-nexubis,/post/circuit-securing-nexubis,INTERNAL,200,
/blog,Read full article→,/post/circuit-securing-nexubis,/post/circuit-securing-nexubis,INTERNAL,200,
/blog,Featured,/post/oxipack-empowering-nexubis,/post/oxipack-empowering-nexubis,INTERNAL,200,
/blog,Oxipack: Funding Nexubis,/post/oxipack-empowering-nexubis,/post/oxipack-empowering-nexubis,INTERNAL,200,
/blog,Read full article→,/post/oxipack-empowering-nexubis,/post/oxipack-empowering-nexubis,INTERNAL,200,
/blog,Featured,/post/altify-empowering-nexubis,/post/altify-empowering-nexubis,INTERNAL,200,
/blog,Altify: Empowering Nexubis,/post/altify-empowering-nexubis,/post/altify-empowering-nexubis,INTERNAL,200,
/blog,Read full article→,/post/altify-empowering-nexubis,/post/altify-empowering-nexubis,INTERNAL,200,
/blog,,/post/ai-is-not-a-phase-its-an-era,/post/ai-is-not-a-phase-its-an-era,INTERNAL,200,
/blog,AI Is Not a Phase. It's an Era.,/post/ai-is-not-a-phase-its-an-era,/post/ai-is-not-a-phase-its-an-era,INTERNAL,200,
/blog,Read full article→,/post/ai-is-not-a-phase-its-an-era,/post/ai-is-not-a-phase-its-an-era,INTERNAL,200,
/blog,,/post/metamorphosis,/post/metamorphosis,INTERNAL,200,
/blog,Metamorphosis,/post/metamorphosis,/post/metamorphosis,INTERNAL,200,
/blog,Read full article→,/post/metamorphosis,/post/metamorphosis,INTERNAL,200,
/blog,,/post/beyond-the-eu30-000,/post/beyond-the-eu30-000,INTERNAL,200,
/blog,Beyond the €30 000,/post/beyond-the-eu30-000,/post/beyond-the-eu30-000,INTERNAL,200,
/blog,Read full article→,/post/beyond-the-eu30-000,/post/beyond-the-eu30-000,INTERNAL,200,
/blog,,/post/the-cost-of-refusing-to-adapt,/post/the-cost-of-refusing-to-adapt,INTERNAL,200,
/blog,The Cost of Refusing to Adapt,/post/the-cost-of-refusing-to-adapt,/post/the-cost-of-refusing-to-adapt,INTERNAL,200,
/blog,Read full article→,/post/the-cost-of-refusing-to-adapt,/post/the-cost-of-refusing-to-adapt,INTERNAL,200,
/blog,,/post/the-gold-bar-theory,/post/the-gold-bar-theory,INTERNAL,200,
/blog,The Gold Bar Theory,/post/the-gold-bar-theory,/post/the-gold-bar-theory,INTERNAL,200,
/blog,Read full article→,/post/the-gold-bar-theory,/post/the-gold-bar-theory,INTERNAL,200,
/blog,,/post/partnership-over-transaction,/post/partnership-over-transaction,INTERNAL,200,
/blog,Partnership Over Transaction,/post/partnership-over-transaction,/post/partnership-over-transaction,INTERNAL,200,
/blog,Read full article→,/post/partnership-over-transaction,/post/partnership-over-transaction,INTERNAL,200,
/blog,,/post/impact-builds-network,/post/impact-builds-network,INTERNAL,200,
/blog,Impact Builds Network,/post/impact-builds-network,/post/impact-builds-network,INTERNAL,200,
/blog,Read full article→,/post/impact-builds-network,/post/impact-builds-network,INTERNAL,200,
/blog,,/post/just-do-it,/post/just-do-it,INTERNAL,200,
/blog,Just Do It,/post/just-do-it,/post/just-do-it,INTERNAL,200,
/blog,Read full article→,/post/just-do-it,/post/just-do-it,INTERNAL,200,
/blog,,/post/my-1st-biggest-mistake,/post/my-1st-biggest-mistake,INTERNAL,200,
/blog,My 1st Biggest Mistake,/post/my-1st-biggest-mistake,/post/my-1st-biggest-mistake,INTERNAL,200,
/blog,Read full article→,/post/my-1st-biggest-mistake,/post/my-1st-biggest-mistake,INTERNAL,200,
/blog,,/post/the-power-of-linkedin,/post/the-power-of-linkedin,INTERNAL,200,
/blog,The Power of LinkedIn,/post/the-power-of-linkedin,/post/the-power-of-linkedin,INTERNAL,200,
/blog,Read full article→,/post/the-power-of-linkedin,/post/the-power-of-linkedin,INTERNAL,200,
/blog,,/post/how-to-not-suck-at-job-applications,/post/how-to-not-suck-at-job-applications,INTERNAL,200,
/blog,How to not suck at job applications,/post/how-to-not-suck-at-job-applications,/post/how-to-not-suck-at-job-applications,INTERNAL,200,
/blog,Read full article→,/post/how-to-not-suck-at-job-applications,/post/how-to-not-suck-at-job-applications,INTERNAL,200,
/blog,,/post/momentum-fever,/post/momentum-fever,INTERNAL,200,
/blog,Momentum Fever,/post/momentum-fever,/post/momentum-fever,INTERNAL,200,
/blog,Read full article→,/post/momentum-fever,/post/momentum-fever,INTERNAL,200,
/blog,,/post/keep-positioning-yourself,/post/keep-positioning-yourself,INTERNAL,200,
/blog,Keep positioning yourself,/post/keep-positioning-yourself,/post/keep-positioning-yourself,INTERNAL,200,
/blog,Read full article→,/post/keep-positioning-yourself,/post/keep-positioning-yourself,INTERNAL,200,
/blog,,/post/new-years-resolutions,/post/new-years-resolutions,INTERNAL,200,
/blog,New Year’s Resolutions,/post/new-years-resolutions,/post/new-years-resolutions,INTERNAL,200,
/blog,Read full article→,/post/new-years-resolutions,/post/new-years-resolutions,INTERNAL,200,
/blog,,/post/goals-vs-movement,/post/goals-vs-movement,INTERNAL,200,
/blog,Goals vs. Movement,/post/goals-vs-movement,/post/goals-vs-movement,INTERNAL,200,
/blog,Read full article→,/post/goals-vs-movement,/post/goals-vs-movement,INTERNAL,200,
/blog,,/post/2025-in-retrospect,/post/2025-in-retrospect,INTERNAL,200,
/blog,2025 In Retrospect,/post/2025-in-retrospect,/post/2025-in-retrospect,INTERNAL,200,
/blog,Read full article→,/post/2025-in-retrospect,/post/2025-in-retrospect,INTERNAL,200,
/blog,,/post/long-term-greed,/post/long-term-greed,INTERNAL,200,
/blog,Long-Term Greed,/post/long-term-greed,/post/long-term-greed,INTERNAL,200,
/blog,Read full article→,/post/long-term-greed,/post/long-term-greed,INTERNAL,200,
/blog,,/post/dick-proves-the-agency-stereotype,/post/dick-proves-the-agency-stereotype,INTERNAL,200,
/blog,Dick Proves the Agency Stereotype,/post/dick-proves-the-agency-stereotype,/post/dick-proves-the-agency-stereotype,INTERNAL,200,
/blog,Read full article→,/post/dick-proves-the-agency-stereotype,/post/dick-proves-the-agency-stereotype,INTERNAL,200,
/blog,,/post/striving-for-culinary-perfection,/post/striving-for-culinary-perfection,INTERNAL,200,
/blog,Striving for “Culinary” Perfection,/post/striving-for-culinary-perfection,/post/striving-for-culinary-perfection,INTERNAL,200,
/blog,Read full article→,/post/striving-for-culinary-perfection,/post/striving-for-culinary-perfection,INTERNAL,200,
/blog,,/post/the-walter-mitty-effect,/post/the-walter-mitty-effect,INTERNAL,200,
/blog,The Walter Mitty Effect,/post/the-walter-mitty-effect,/post/the-walter-mitty-effect,INTERNAL,200,
/blog,Read full article→,/post/the-walter-mitty-effect,/post/the-walter-mitty-effect,INTERNAL,200,
/blog,,/post/the-discipline-of-quitting,/post/the-discipline-of-quitting,INTERNAL,200,
/blog,The Discipline of Quitting,/post/the-discipline-of-quitting,/post/the-discipline-of-quitting,INTERNAL,200,
/blog,Read full article→,/post/the-discipline-of-quitting,/post/the-discipline-of-quitting,INTERNAL,200,
/blog,,/post/empowering-women-with-project-flamingo,/post/empowering-women-with-project-flamingo,INTERNAL,200,
/blog,Empowering Women with Project Flamingo,/post/empowering-women-with-project-flamingo,/post/empowering-women-with-project-flamingo,INTERNAL,200,
/blog,Read full article→,/post/empowering-women-with-project-flamingo,/post/empowering-women-with-project-flamingo,INTERNAL,200,
/blog,,/post/the-legendary-play,/post/the-legendary-play,INTERNAL,200,
/blog,The Legendary Play,/post/the-legendary-play,/post/the-legendary-play,INTERNAL,200,
/blog,Read full article→,/post/the-legendary-play,/post/the-legendary-play,INTERNAL,200,
/blog,,/post/keep-firing-yourself-part-2,/post/keep-firing-yourself-part-2,INTERNAL,200,
/blog,Keep Firing Yourself (Part 2),/post/keep-firing-yourself-part-2,/post/keep-firing-yourself-part-2,INTERNAL,200,
/blog,Read full article→,/post/keep-firing-yourself-part-2,/post/keep-firing-yourself-part-2,INTERNAL,200,
/blog,,/post/skip-the-ladder-join-a-startup,/post/skip-the-ladder-join-a-startup,INTERNAL,200,
/blog,Skip the Ladder. Join a Startup.,/post/skip-the-ladder-join-a-startup,/post/skip-the-ladder-join-a-startup,INTERNAL,200,
/blog,Read full article→,/post/skip-the-ladder-join-a-startup,/post/skip-the-ladder-join-a-startup,INTERNAL,200,
/blog,,/post/fresh-out-of-college-now-what,/post/fresh-out-of-college-now-what,INTERNAL,200,
/blog,Fresh Out of College… Now What?,/post/fresh-out-of-college-now-what,/post/fresh-out-of-college-now-what,INTERNAL,200,
/blog,Read full article→,/post/fresh-out-of-college-now-what,/post/fresh-out-of-college-now-what,INTERNAL,200,
